Amount Effective from April to June 2022/Montant en vigueur en avril à juin 2022,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel (sauf la pension de la SV et le SRG) De,Revenu annuel (sauf la pension de la SV et le SRG) ·,SRG mensuel pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
0.00,23.99,968.86,"1,617.53"
24.00,47.99,967.86,"1,616.53"
48.00,71.99,966.86,"1,615.53"
72.00,95.99,965.86,"1,614.53"
96.00,119.99,964.86,"1,613.53"
120.00,143.99,963.86,"1,612.53"
144.00,167.99,962.86,"1,611.53"
168.00,191.99,961.86,"1,610.53"
192.00,215.99,960.86,"1,609.53"
216.00,239.99,959.86,"1,608.53"
240.00,263.99,958.86,"1,607.53"
264.00,287.99,957.86,"1,606.53"
288.00,311.99,956.86,"1,605.53"
312.00,335.99,955.86,"1,604.53"
336.00,359.99,954.86,"1,603.53"
360.00,383.99,953.86,"1,602.53"
384.00,407.99,952.86,"1,601.53"
408.00,431.99,951.86,"1,600.53"
432.00,455.99,950.86,"1,599.53"
456.00,479.99,949.86,"1,598.53"
480.00,503.99,948.86,"1,597.53"
504.00,527.99,947.86,"1,596.53"
528.00,551.99,946.86,"1,595.53"
552.00,575.99,945.86,"1,594.53"
576.00,599.99,944.86,"1,593.53"
600.00,623.99,943.86,"1,592.53"
624.00,647.99,942.86,"1,591.53"
648.00,671.99,941.86,"1,590.53"
672.00,695.99,940.86,"1,589.53"
696.00,719.99,939.86,"1,588.53"
720.00,743.99,938.86,"1,587.53"
744.00,767.99,937.86,"1,586.53"
768.00,791.99,936.86,"1,585.53"
792.00,815.99,935.86,"1,584.53"
816.00,839.99,934.86,"1,583.53"
840.00,863.99,933.86,"1,582.53"
864.00,887.99,932.86,"1,581.53"
888.00,911.99,931.86,"1,580.53"
912.00,935.99,930.86,"1,579.53"
936.00,959.99,929.86,"1,578.53"
960.00,983.99,928.86,"1,577.53"
984.00,"1,007.99",927.86,"1,576.53"
"1,008.00","1,031.99",926.86,"1,575.53"
"1,032.00","1,055.99",925.86,"1,574.53"
"1,056.00","1,079.99",924.86,"1,573.53"
"1,080.00","1,103.99",923.86,"1,572.53"
"1,104.00","1,127.99",922.86,"1,571.53"
"1,128.00","1,151.99",921.86,"1,570.53"
"1,152.00","1,175.99",920.86,"1,569.53"
"1,176.00","1,199.99",919.86,"1,568.53"
"1,200.00","1,223.99",918.86,"1,567.53"
"1,224.00","1,247.99",917.86,"1,566.53"
"1,248.00","1,271.99",916.86,"1,565.53"
"1,272.00","1,295.99",915.86,"1,564.53"
"1,296.00","1,319.99",914.86,"1,563.53"
"1,320.00","1,343.99",913.86,"1,562.53"
"1,344.00","1,367.99",912.86,"1,561.53"
"1,368.00","1,391.99",911.86,"1,560.53"
"1,392.00","1,415.99",910.86,"1,559.53"
"1,416.00","1,439.99",909.86,"1,558.53"
"1,440.00","1,463.99",908.86,"1,557.53"
"1,464.00","1,487.99",907.86,"1,556.53"
"1,488.00","1,511.99",906.86,"1,555.53"
"1,512.00","1,535.99",905.86,"1,554.53"
"1,536.00","1,559.99",904.86,"1,553.53"
"1,560.00","1,583.99",903.86,"1,552.53"
"1,584.00","1,607.99",902.86,"1,551.53"
"1,608.00","1,631.99",901.86,"1,550.53"
"1,632.00","1,655.99",900.86,"1,549.53"
"1,656.00","1,679.99",899.86,"1,548.53"
"1,680.00","1,703.99",898.86,"1,547.53"
"1,704.00","1,727.99",897.86,"1,546.53"
"1,728.00","1,751.99",896.86,"1,545.53"
"1,752.00","1,775.99",895.86,"1,544.53"
"1,776.00","1,799.99",894.86,"1,543.53"
"1,800.00","1,823.99",893.86,"1,542.53"
"1,824.00","1,847.99",892.86,"1,541.53"
"1,848.00","1,871.99",891.86,"1,540.53"
"1,872.00","1,895.99",890.86,"1,539.53"
"1,896.00","1,919.99",889.86,"1,538.53"
"1,920.00","1,943.99",888.86,"1,537.53"
"1,944.00","1,967.99",887.86,"1,536.53"
"1,968.00","1,991.99",886.86,"1,535.53"
"1,992.00","2,015.99",885.86,"1,534.53"
"2,016.00","2,039.99",884.86,"1,533.53"
"2,040.00","2,047.99",883.86,"1,532.53"
"2,048.00","2,063.99",882.86,"1,531.53"
"2,064.00","2,087.99",881.86,"1,530.53"
"2,088.00","2,095.99",880.86,"1,529.53"
"2,096.00","2,111.99",879.86,"1,528.53"
"2,112.00","2,135.99",878.86,"1,527.53"
"2,136.00","2,143.99",877.86,"1,526.53"
"2,144.00","2,159.99",876.86,"1,525.53"
"2,160.00","2,183.99",875.86,"1,524.53"
"2,184.00","2,191.99",874.86,"1,523.53"
"2,192.00","2,207.99",873.86,"1,522.53"
"2,208.00","2,231.99",872.86,"1,521.53"
"2,232.00","2,239.99",871.86,"1,520.53"
"2,240.00","2,255.99",870.86,"1,519.53"
"2,256.00","2,279.99",869.86,"1,518.53"
"2,280.00","2,287.99",868.86,"1,517.53"
"2,288.00","2,303.99",867.86,"1,516.53"
"2,304.00","2,327.99",866.86,"1,515.53"
"2,328.00","2,335.99",865.86,"1,514.53"
"2,336.00","2,351.99",864.86,"1,513.53"
"2,352.00","2,375.99",863.86,"1,512.53"
"2,376.00","2,383.99",862.86,"1,511.53"
"2,384.00","2,399.99",861.86,"1,510.53"
"2,400.00","2,423.99",860.86,"1,509.53"
"2,424.00","2,431.99",859.86,"1,508.53"
"2,432.00","2,447.99",858.86,"1,507.53"
"2,448.00","2,471.99",857.86,"1,506.53"
"2,472.00","2,479.99",856.86,"1,505.53"
"2,480.00","2,495.99",855.86,"1,504.53"
"2,496.00","2,519.99",854.86,"1,503.53"
"2,520.00","2,527.99",853.86,"1,502.53"
"2,528.00","2,543.99",852.86,"1,501.53"
"2,544.00","2,567.99",851.86,"1,500.53"
"2,568.00","2,575.99",850.86,"1,499.53"
"2,576.00","2,591.99",849.86,"1,498.53"
"2,592.00","2,615.99",848.86,"1,497.53"
"2,616.00","2,623.99",847.86,"1,496.53"
"2,624.00","2,639.99",846.86,"1,495.53"
"2,640.00","2,663.99",845.86,"1,494.53"
"2,664.00","2,671.99",844.86,"1,493.53"
"2,672.00","2,687.99",843.86,"1,492.53"
"2,688.00","2,711.99",842.86,"1,491.53"
"2,712.00","2,719.99",841.86,"1,490.53"
"2,720.00","2,735.99",840.86,"1,489.53"
"2,736.00","2,759.99",839.86,"1,488.53"
"2,760.00","2,767.99",838.86,"1,487.53"
"2,768.00","2,783.99",837.86,"1,486.53"
"2,784.00","2,807.99",836.86,"1,485.53"
"2,808.00","2,815.99",835.86,"1,484.53"
"2,816.00","2,831.99",834.86,"1,483.53"
"2,832.00","2,855.99",833.86,"1,482.53"
"2,856.00","2,863.99",832.86,"1,481.53"
"2,864.00","2,879.99",831.86,"1,480.53"
"2,880.00","2,903.99",830.86,"1,479.53"
"2,904.00","2,911.99",829.86,"1,478.53"
"2,912.00","2,927.99",828.86,"1,477.53"
"2,928.00","2,951.99",827.86,"1,476.53"
"2,952.00","2,959.99",826.86,"1,475.53"
"2,960.00","2,975.99",825.86,"1,474.53"
"2,976.00","2,999.99",824.86,"1,473.53"
"3,000.00","3,007.99",823.86,"1,472.53"
"3,008.00","3,023.99",822.86,"1,471.53"
"3,024.00","3,047.99",821.86,"1,470.53"
"3,048.00","3,055.99",820.86,"1,469.53"
"3,056.00","3,071.99",819.86,"1,468.53"
"3,072.00","3,095.99",818.86,"1,467.53"
"3,096.00","3,103.99",817.86,"1,466.53"
"3,104.00","3,119.99",816.86,"1,465.53"
"3,120.00","3,143.99",815.86,"1,464.53"
"3,144.00","3,151.99",814.86,"1,463.53"
"3,152.00","3,167.99",813.86,"1,462.53"
"3,168.00","3,191.99",812.86,"1,461.53"
"3,192.00","3,199.99",811.86,"1,460.53"
"3,200.00","3,215.99",810.86,"1,459.53"
"3,216.00","3,239.99",809.86,"1,458.53"
"3,240.00","3,247.99",808.86,"1,457.53"
"3,248.00","3,263.99",807.86,"1,456.53"
"3,264.00","3,287.99",806.86,"1,455.53"
"3,288.00","3,295.99",805.86,"1,454.53"
"3,296.00","3,311.99",804.86,"1,453.53"
"3,312.00","3,335.99",803.86,"1,452.53"
"3,336.00","3,343.99",802.86,"1,451.53"
"3,344.00","3,359.99",801.86,"1,450.53"
"3,360.00","3,383.99",800.86,"1,449.53"
"3,384.00","3,391.99",799.86,"1,448.53"
"3,392.00","3,407.99",798.86,"1,447.53"
"3,408.00","3,431.99",797.86,"1,446.53"
"3,432.00","3,439.99",796.86,"1,445.53"
"3,440.00","3,455.99",795.86,"1,444.53"
"3,456.00","3,479.99",794.86,"1,443.53"
"3,480.00","3,487.99",793.86,"1,442.53"
"3,488.00","3,503.99",792.86,"1,441.53"
"3,504.00","3,527.99",791.86,"1,440.53"
"3,528.00","3,535.99",790.86,"1,439.53"
"3,536.00","3,551.99",789.86,"1,438.53"
"3,552.00","3,575.99",788.86,"1,437.53"
"3,576.00","3,583.99",787.86,"1,436.53"
"3,584.00","3,599.99",786.86,"1,435.53"
"3,600.00","3,623.99",785.86,"1,434.53"
"3,624.00","3,631.99",784.86,"1,433.53"
"3,632.00","3,647.99",783.86,"1,432.53"
"3,648.00","3,671.99",782.86,"1,431.53"
"3,672.00","3,679.99",781.86,"1,430.53"
"3,680.00","3,695.99",780.86,"1,429.53"
"3,696.00","3,719.99",779.86,"1,428.53"
"3,720.00","3,727.99",778.86,"1,427.53"
"3,728.00","3,743.99",777.86,"1,426.53"
"3,744.00","3,767.99",776.86,"1,425.53"
"3,768.00","3,775.99",775.86,"1,424.53"
"3,776.00","3,791.99",774.86,"1,423.53"
"3,792.00","3,815.99",773.86,"1,422.53"
"3,816.00","3,823.99",772.86,"1,421.53"
"3,824.00","3,839.99",771.86,"1,420.53"
"3,840.00","3,863.99",770.86,"1,419.53"
"3,864.00","3,871.99",769.86,"1,418.53"
"3,872.00","3,887.99",768.86,"1,417.53"
"3,888.00","3,911.99",767.86,"1,416.53"
"3,912.00","3,919.99",766.86,"1,415.53"
"3,920.00","3,935.99",765.86,"1,414.53"
"3,936.00","3,959.99",764.86,"1,413.53"
"3,960.00","3,967.99",763.86,"1,412.53"
"3,968.00","3,983.99",762.86,"1,411.53"
"3,984.00","4,007.99",761.86,"1,410.53"
"4,008.00","4,015.99",760.86,"1,409.53"
"4,016.00","4,031.99",759.86,"1,408.53"
"4,032.00","4,055.99",758.86,"1,407.53"
"4,056.00","4,063.99",757.86,"1,406.53"
"4,064.00","4,079.99",756.86,"1,405.53"
"4,080.00","4,103.99",755.86,"1,404.53"
"4,104.00","4,111.99",754.86,"1,403.53"
"4,112.00","4,127.99",753.86,"1,402.53"
"4,128.00","4,151.99",752.86,"1,401.53"
"4,152.00","4,159.99",751.86,"1,400.53"
"4,160.00","4,175.99",750.86,"1,399.53"
"4,176.00","4,199.99",749.86,"1,398.53"
"4,200.00","4,207.99",748.86,"1,397.53"
"4,208.00","4,223.99",747.86,"1,396.53"
"4,224.00","4,247.99",746.86,"1,395.53"
"4,248.00","4,255.99",745.86,"1,394.53"
"4,256.00","4,271.99",744.86,"1,393.53"
"4,272.00","4,295.99",743.86,"1,392.53"
"4,296.00","4,303.99",742.86,"1,391.53"
"4,304.00","4,319.99",741.86,"1,390.53"
"4,320.00","4,343.99",740.86,"1,389.53"
"4,344.00","4,351.99",739.86,"1,388.53"
"4,352.00","4,367.99",738.86,"1,387.53"
"4,368.00","4,391.99",737.86,"1,386.53"
"4,392.00","4,399.99",736.86,"1,385.53"
"4,400.00","4,415.99",735.86,"1,384.53"
"4,416.00","4,439.99",734.86,"1,383.53"
"4,440.00","4,447.99",733.86,"1,382.53"
"4,448.00","4,463.99",732.86,"1,381.53"
"4,464.00","4,487.99",731.86,"1,380.53"
"4,488.00","4,495.99",730.86,"1,379.53"
"4,496.00","4,511.99",729.86,"1,378.53"
"4,512.00","4,535.99",728.86,"1,377.53"
"4,536.00","4,543.99",727.86,"1,376.53"
"4,544.00","4,559.99",726.86,"1,375.53"
"4,560.00","4,583.99",725.86,"1,374.53"
"4,584.00","4,591.99",724.86,"1,373.53"
"4,592.00","4,607.99",723.86,"1,372.53"
"4,608.00","4,631.99",722.86,"1,371.53"
"4,632.00","4,639.99",721.86,"1,370.53"
"4,640.00","4,655.99",720.86,"1,369.53"
"4,656.00","4,679.99",719.86,"1,368.53"
"4,680.00","4,687.99",718.86,"1,367.53"
"4,688.00","4,703.99",717.86,"1,366.53"
"4,704.00","4,727.99",716.86,"1,365.53"
"4,728.00","4,735.99",715.86,"1,364.53"
"4,736.00","4,751.99",714.86,"1,363.53"
"4,752.00","4,775.99",713.86,"1,362.53"
"4,776.00","4,783.99",712.86,"1,361.53"
"4,784.00","4,799.99",711.86,"1,360.53"
"4,800.00","4,823.99",710.86,"1,359.53"
"4,824.00","4,831.99",709.86,"1,358.53"
"4,832.00","4,847.99",708.86,"1,357.53"
"4,848.00","4,871.99",707.86,"1,356.53"
"4,872.00","4,879.99",706.86,"1,355.53"
"4,880.00","4,895.99",705.86,"1,354.53"
"4,896.00","4,919.99",704.86,"1,353.53"
"4,920.00","4,927.99",703.86,"1,352.53"
"4,928.00","4,943.99",702.86,"1,351.53"
"4,944.00","4,967.99",701.86,"1,350.53"
"4,968.00","4,975.99",700.86,"1,349.53"
"4,976.00","4,991.99",699.86,"1,348.53"
"4,992.00","5,015.99",698.86,"1,347.53"
"5,016.00","5,023.99",697.86,"1,346.53"
"5,024.00","5,039.99",696.86,"1,345.53"
"5,040.00","5,063.99",695.86,"1,344.53"
"5,064.00","5,071.99",694.86,"1,343.53"
"5,072.00","5,087.99",693.86,"1,342.53"
"5,088.00","5,111.99",692.86,"1,341.53"
"5,112.00","5,119.99",691.86,"1,340.53"
"5,120.00","5,135.99",690.86,"1,339.53"
"5,136.00","5,159.99",689.86,"1,338.53"
"5,160.00","5,167.99",688.86,"1,337.53"
"5,168.00","5,183.99",687.86,"1,336.53"
"5,184.00","5,207.99",686.86,"1,335.53"
"5,208.00","5,215.99",685.86,"1,334.53"
"5,216.00","5,231.99",684.86,"1,333.53"
"5,232.00","5,255.99",683.86,"1,332.53"
"5,256.00","5,263.99",682.86,"1,331.53"
"5,264.00","5,279.99",681.86,"1,330.53"
"5,280.00","5,303.99",680.86,"1,329.53"
"5,304.00","5,311.99",679.86,"1,328.53"
"5,312.00","5,327.99",678.86,"1,327.53"
"5,328.00","5,351.99",677.86,"1,326.53"
"5,352.00","5,359.99",676.86,"1,325.53"
"5,360.00","5,375.99",675.86,"1,324.53"
"5,376.00","5,399.99",674.86,"1,323.53"
"5,400.00","5,407.99",673.86,"1,322.53"
"5,408.00","5,423.99",672.86,"1,321.53"
"5,424.00","5,447.99",671.86,"1,320.53"
"5,448.00","5,455.99",670.86,"1,319.53"
"5,456.00","5,471.99",669.86,"1,318.53"
"5,472.00","5,495.99",668.86,"1,317.53"
"5,496.00","5,503.99",667.86,"1,316.53"
"5,504.00","5,519.99",666.86,"1,315.53"
"5,520.00","5,543.99",665.86,"1,314.53"
"5,544.00","5,551.99",664.86,"1,313.53"
"5,552.00","5,567.99",663.86,"1,312.53"
"5,568.00","5,591.99",662.86,"1,311.53"
"5,592.00","5,599.99",661.86,"1,310.53"
"5,600.00","5,615.99",660.86,"1,309.53"
"5,616.00","5,639.99",659.86,"1,308.53"
"5,640.00","5,647.99",658.86,"1,307.53"
"5,648.00","5,663.99",657.86,"1,306.53"
"5,664.00","5,687.99",656.86,"1,305.53"
"5,688.00","5,695.99",655.86,"1,304.53"
"5,696.00","5,711.99",654.86,"1,303.53"
"5,712.00","5,735.99",653.86,"1,302.53"
"5,736.00","5,743.99",652.86,"1,301.53"
"5,744.00","5,759.99",651.86,"1,300.53"
"5,760.00","5,783.99",650.86,"1,299.53"
"5,784.00","5,791.99",649.86,"1,298.53"
"5,792.00","5,807.99",648.86,"1,297.53"
"5,808.00","5,831.99",647.86,"1,296.53"
"5,832.00","5,839.99",646.86,"1,295.53"
"5,840.00","5,855.99",645.86,"1,294.53"
"5,856.00","5,879.99",644.86,"1,293.53"
"5,880.00","5,887.99",643.86,"1,292.53"
"5,888.00","5,903.99",642.86,"1,291.53"
"5,904.00","5,927.99",641.86,"1,290.53"
"5,928.00","5,935.99",640.86,"1,289.53"
"5,936.00","5,951.99",639.86,"1,288.53"
"5,952.00","5,975.99",638.86,"1,287.53"
"5,976.00","5,983.99",637.86,"1,286.53"
"5,984.00","5,999.99",636.86,"1,285.53"
"6,000.00","6,023.99",635.86,"1,284.53"
"6,024.00","6,031.99",634.86,"1,283.53"
"6,032.00","6,047.99",633.86,"1,282.53"
"6,048.00","6,071.99",632.86,"1,281.53"
"6,072.00","6,079.99",631.86,"1,280.53"
"6,080.00","6,095.99",630.86,"1,279.53"
"6,096.00","6,119.99",629.86,"1,278.53"
"6,120.00","6,127.99",628.86,"1,277.53"
"6,128.00","6,143.99",627.86,"1,276.53"
"6,144.00","6,167.99",626.86,"1,275.53"
"6,168.00","6,175.99",625.86,"1,274.53"
"6,176.00","6,191.99",624.86,"1,273.53"
"6,192.00","6,215.99",623.86,"1,272.53"
"6,216.00","6,223.99",622.86,"1,271.53"
"6,224.00","6,239.99",621.86,"1,270.53"
"6,240.00","6,263.99",620.86,"1,269.53"
"6,264.00","6,271.99",619.86,"1,268.53"
"6,272.00","6,287.99",618.86,"1,267.53"
"6,288.00","6,311.99",617.86,"1,266.53"
"6,312.00","6,319.99",616.86,"1,265.53"
"6,320.00","6,335.99",615.86,"1,264.53"
"6,336.00","6,359.99",614.86,"1,263.53"
"6,360.00","6,367.99",613.86,"1,262.53"
"6,368.00","6,383.99",612.86,"1,261.53"
"6,384.00","6,407.99",611.86,"1,260.53"
"6,408.00","6,415.99",610.86,"1,259.53"
"6,416.00","6,431.99",609.86,"1,258.53"
"6,432.00","6,455.99",608.86,"1,257.53"
"6,456.00","6,463.99",607.86,"1,256.53"
"6,464.00","6,479.99",606.86,"1,255.53"
"6,480.00","6,503.99",605.86,"1,254.53"
"6,504.00","6,511.99",604.86,"1,253.53"
"6,512.00","6,527.99",603.86,"1,252.53"
"6,528.00","6,551.99",602.86,"1,251.53"
"6,552.00","6,559.99",601.86,"1,250.53"
"6,560.00","6,575.99",600.86,"1,249.53"
"6,576.00","6,599.99",599.86,"1,248.53"
"6,600.00","6,607.99",598.86,"1,247.53"
"6,608.00","6,623.99",597.86,"1,246.53"
"6,624.00","6,647.99",596.86,"1,245.53"
"6,648.00","6,655.99",595.86,"1,244.53"
"6,656.00","6,671.99",594.86,"1,243.53"
"6,672.00","6,695.99",593.86,"1,242.53"
"6,696.00","6,703.99",592.86,"1,241.53"
"6,704.00","6,719.99",591.86,"1,240.53"
"6,720.00","6,743.99",590.86,"1,239.53"
"6,744.00","6,751.99",589.86,"1,238.53"
"6,752.00","6,767.99",588.86,"1,237.53"
"6,768.00","6,791.99",587.86,"1,236.53"
"6,792.00","6,799.99",586.86,"1,235.53"
"6,800.00","6,815.99",585.86,"1,234.53"
"6,816.00","6,839.99",584.86,"1,233.53"
"6,840.00","6,847.99",583.86,"1,232.53"
"6,848.00","6,863.99",582.86,"1,231.53"
"6,864.00","6,887.99",581.86,"1,230.53"
"6,888.00","6,895.99",580.86,"1,229.53"
"6,896.00","6,911.99",579.86,"1,228.53"
"6,912.00","6,935.99",578.86,"1,227.53"
"6,936.00","6,943.99",577.86,"1,226.53"
"6,944.00","6,959.99",576.86,"1,225.53"
"6,960.00","6,983.99",575.86,"1,224.53"
"6,984.00","6,991.99",574.86,"1,223.53"
"6,992.00","7,007.99",573.86,"1,222.53"
"7,008.00","7,031.99",572.86,"1,221.53"
"7,032.00","7,039.99",571.86,"1,220.53"
"7,040.00","7,055.99",570.86,"1,219.53"
"7,056.00","7,079.99",569.86,"1,218.53"
"7,080.00","7,087.99",568.86,"1,217.53"
"7,088.00","7,103.99",567.86,"1,216.53"
"7,104.00","7,127.99",566.86,"1,215.53"
"7,128.00","7,135.99",565.86,"1,214.53"
"7,136.00","7,151.99",564.86,"1,213.53"
"7,152.00","7,175.99",563.86,"1,212.53"
"7,176.00","7,183.99",562.86,"1,211.53"
"7,184.00","7,199.99",561.86,"1,210.53"
"7,200.00","7,223.99",560.86,"1,209.53"
"7,224.00","7,231.99",559.86,"1,208.53"
"7,232.00","7,247.99",558.86,"1,207.53"
"7,248.00","7,271.99",557.86,"1,206.53"
"7,272.00","7,279.99",556.86,"1,205.53"
"7,280.00","7,295.99",555.86,"1,204.53"
"7,296.00","7,319.99",554.86,"1,203.53"
"7,320.00","7,327.99",553.86,"1,202.53"
"7,328.00","7,343.99",552.86,"1,201.53"
"7,344.00","7,367.99",551.86,"1,200.53"
"7,368.00","7,375.99",550.86,"1,199.53"
"7,376.00","7,391.99",549.86,"1,198.53"
"7,392.00","7,415.99",548.86,"1,197.53"
"7,416.00","7,423.99",547.86,"1,196.53"
"7,424.00","7,439.99",546.86,"1,195.53"
"7,440.00","7,463.99",545.86,"1,194.53"
"7,464.00","7,471.99",544.86,"1,193.53"
"7,472.00","7,487.99",543.86,"1,192.53"
"7,488.00","7,511.99",542.86,"1,191.53"
"7,512.00","7,519.99",541.86,"1,190.53"
"7,520.00","7,535.99",540.86,"1,189.53"
"7,536.00","7,559.99",539.86,"1,188.53"
"7,560.00","7,567.99",538.86,"1,187.53"
"7,568.00","7,583.99",537.86,"1,186.53"
"7,584.00","7,607.99",536.86,"1,185.53"
"7,608.00","7,615.99",535.86,"1,184.53"
"7,616.00","7,631.99",534.86,"1,183.53"
"7,632.00","7,655.99",533.86,"1,182.53"
"7,656.00","7,663.99",532.86,"1,181.53"
"7,664.00","7,679.99",531.86,"1,180.53"
"7,680.00","7,703.99",530.86,"1,179.53"
"7,704.00","7,711.99",529.86,"1,178.53"
"7,712.00","7,727.99",528.86,"1,177.53"
"7,728.00","7,751.99",527.86,"1,176.53"
"7,752.00","7,759.99",526.86,"1,175.53"
"7,760.00","7,775.99",525.86,"1,174.53"
"7,776.00","7,799.99",524.86,"1,173.53"
"7,800.00","7,807.99",523.86,"1,172.53"
"7,808.00","7,823.99",522.86,"1,171.53"
"7,824.00","7,847.99",521.86,"1,170.53"
"7,848.00","7,855.99",520.86,"1,169.53"
"7,856.00","7,871.99",519.86,"1,168.53"
"7,872.00","7,895.99",518.86,"1,167.53"
"7,896.00","7,903.99",517.86,"1,166.53"
"7,904.00","7,919.99",516.86,"1,165.53"
"7,920.00","7,943.99",515.86,"1,164.53"
"7,944.00","7,951.99",514.86,"1,163.53"
"7,952.00","7,967.99",513.86,"1,162.53"
"7,968.00","7,991.99",512.86,"1,161.53"
"7,992.00","7,999.99",511.86,"1,160.53"
"8,000.00","8,015.99",510.86,"1,159.53"
"8,016.00","8,039.99",509.86,"1,158.53"
"8,040.00","8,047.99",508.86,"1,157.53"
"8,048.00","8,063.99",507.86,"1,156.53"
"8,064.00","8,087.99",506.86,"1,155.53"
"8,088.00","8,095.99",505.86,"1,154.53"
"8,096.00","8,111.99",504.86,"1,153.53"
"8,112.00","8,135.99",503.86,"1,152.53"
"8,136.00","8,143.99",502.86,"1,151.53"
"8,144.00","8,159.99",501.86,"1,150.53"
"8,160.00","8,183.99",500.86,"1,149.53"
"8,184.00","8,191.99",499.86,"1,148.53"
"8,192.00","8,207.99",498.86,"1,147.53"
"8,208.00","8,231.99",497.86,"1,146.53"
"8,232.00","8,239.99",496.86,"1,145.53"
"8,240.00","8,255.99",495.86,"1,144.53"
