Amount Effective from January to March 2020/Montant en vigueur en janvier à mars 2020,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Monthly GIS with Maximum OAS Pension for each recipient ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) · ($),SRG mensuel pour montant maximal de la pension de la SV pour chaque b‚n‚ficiaire ($),Total mensuel de la pension de la SV et du SRG ($)
0,47.99,551.63,"1,165.16"
48,95.99,550.63,"1,164.16"
96,143.99,549.63,"1,163.16"
144,191.99,548.63,"1,162.16"
192,239.99,547.63,"1,161.16"
240,287.99,546.63,"1,160.16"
288,335.99,545.63,"1,159.16"
336,383.99,544.63,"1,158.16"
384,431.99,543.63,"1,157.16"
432,479.99,542.63,"1,156.16"
480,527.99,541.63,"1,155.16"
528,575.99,540.63,"1,154.16"
576,623.99,539.63,"1,153.16"
624,671.99,538.63,"1,152.16"
672,719.99,537.63,"1,151.16"
720,767.99,536.63,"1,150.16"
768,815.99,535.63,"1,149.16"
816,863.99,534.63,"1,148.16"
864,911.99,533.63,"1,147.16"
912,959.99,532.63,"1,146.16"
960,"1,007.99",531.63,"1,145.16"
"1,008.00","1,055.99",530.63,"1,144.16"
"1,056.00","1,103.99",529.63,"1,143.16"
"1,104.00","1,151.99",528.63,"1,142.16"
"1,152.00","1,199.99",527.63,"1,141.16"
"1,200.00","1,247.99",526.63,"1,140.16"
"1,248.00","1,295.99",525.63,"1,139.16"
"1,296.00","1,343.99",524.63,"1,138.16"
"1,344.00","1,391.99",523.63,"1,137.16"
"1,392.00","1,439.99",522.63,"1,136.16"
"1,440.00","1,487.99",521.63,"1,135.16"
"1,488.00","1,535.99",520.63,"1,134.16"
"1,536.00","1,583.99",519.63,"1,133.16"
"1,584.00","1,631.99",518.63,"1,132.16"
"1,632.00","1,679.99",517.63,"1,131.16"
"1,680.00","1,727.99",516.63,"1,130.16"
"1,728.00","1,775.99",515.63,"1,129.16"
"1,776.00","1,823.99",514.63,"1,128.16"
"1,824.00","1,871.99",513.63,"1,127.16"
"1,872.00","1,919.99",512.63,"1,126.16"
"1,920.00","1,967.99",511.63,"1,125.16"
"1,968.00","2,015.99",510.63,"1,124.16"
"2,016.00","2,063.99",509.63,"1,123.16"
"2,064.00","2,111.99",508.63,"1,122.16"
"2,112.00","2,159.99",507.63,"1,121.16"
"2,160.00","2,207.99",506.63,"1,120.16"
"2,208.00","2,255.99",505.63,"1,119.16"
"2,256.00","2,303.99",504.63,"1,118.16"
"2,304.00","2,351.99",503.63,"1,117.16"
"2,352.00","2,399.99",502.63,"1,116.16"
"2,400.00","2,447.99",501.63,"1,115.16"
"2,448.00","2,495.99",500.63,"1,114.16"
"2,496.00","2,543.99",499.63,"1,113.16"
"2,544.00","2,591.99",498.63,"1,112.16"
"2,592.00","2,639.99",497.63,"1,111.16"
"2,640.00","2,687.99",496.63,"1,110.16"
"2,688.00","2,735.99",495.63,"1,109.16"
"2,736.00","2,783.99",494.63,"1,108.16"
"2,784.00","2,831.99",493.63,"1,107.16"
"2,832.00","2,879.99",492.63,"1,106.16"
"2,880.00","2,927.99",491.63,"1,105.16"
"2,928.00","2,975.99",490.63,"1,104.16"
"2,976.00","3,023.99",489.63,"1,103.16"
"3,024.00","3,071.99",488.63,"1,102.16"
"3,072.00","3,119.99",487.63,"1,101.16"
"3,120.00","3,167.99",486.63,"1,100.16"
"3,168.00","3,215.99",485.63,"1,099.16"
"3,216.00","3,263.99",484.63,"1,098.16"
"3,264.00","3,311.99",483.63,"1,097.16"
"3,312.00","3,359.99",482.63,"1,096.16"
"3,360.00","3,407.99",481.63,"1,095.16"
"3,408.00","3,455.99",480.63,"1,094.16"
"3,456.00","3,503.99",479.63,"1,093.16"
"3,504.00","3,551.99",478.63,"1,092.16"
"3,552.00","3,599.99",477.63,"1,091.16"
"3,600.00","3,647.99",476.63,"1,090.16"
"3,648.00","3,695.99",475.63,"1,089.16"
"3,696.00","3,743.99",474.63,"1,088.16"
"3,744.00","3,791.99",473.63,"1,087.16"
"3,792.00","3,839.99",472.63,"1,086.16"
"3,840.00","3,887.99",471.63,"1,085.16"
"3,888.00","3,935.99",470.63,"1,084.16"
"3,936.00","3,983.99",469.63,"1,083.16"
"3,984.00","4,031.99",468.63,"1,082.16"
"4,032.00","4,079.99",467.63,"1,081.16"
"4,080.00","4,095.99",466.63,"1,080.16"
"4,096.00","4,127.99",465.63,"1,079.16"
"4,128.00","4,175.99",464.63,"1,078.16"
"4,176.00","4,191.99",463.63,"1,077.16"
"4,192.00","4,223.99",462.63,"1,076.16"
"4,224.00","4,271.99",461.63,"1,075.16"
"4,272.00","4,287.99",460.63,"1,074.16"
"4,288.00","4,319.99",459.63,"1,073.16"
"4,320.00","4,367.99",458.63,"1,072.16"
"4,368.00","4,383.99",457.63,"1,071.16"
"4,384.00","4,415.99",456.63,"1,070.16"
"4,416.00","4,463.99",455.63,"1,069.16"
"4,464.00","4,479.99",454.63,"1,068.16"
"4,480.00","4,511.99",453.63,"1,067.16"
"4,512.00","4,559.99",452.63,"1,066.16"
"4,560.00","4,575.99",451.63,"1,065.16"
"4,576.00","4,607.99",450.63,"1,064.16"
"4,608.00","4,655.99",449.63,"1,063.16"
"4,656.00","4,671.99",448.63,"1,062.16"
"4,672.00","4,703.99",447.63,"1,061.16"
"4,704.00","4,751.99",446.63,"1,060.16"
"4,752.00","4,767.99",445.63,"1,059.16"
"4,768.00","4,799.99",444.63,"1,058.16"
"4,800.00","4,847.99",443.63,"1,057.16"
"4,848.00","4,863.99",442.63,"1,056.16"
"4,864.00","4,895.99",441.63,"1,055.16"
"4,896.00","4,943.99",440.63,"1,054.16"
"4,944.00","4,959.99",439.63,"1,053.16"
"4,960.00","4,991.99",438.63,"1,052.16"
"4,992.00","5,039.99",437.63,"1,051.16"
"5,040.00","5,055.99",436.63,"1,050.16"
"5,056.00","5,087.99",435.63,"1,049.16"
"5,088.00","5,135.99",434.63,"1,048.16"
"5,136.00","5,151.99",433.63,"1,047.16"
"5,152.00","5,183.99",432.63,"1,046.16"
"5,184.00","5,231.99",431.63,"1,045.16"
"5,232.00","5,247.99",430.63,"1,044.16"
"5,248.00","5,279.99",429.63,"1,043.16"
"5,280.00","5,327.99",428.63,"1,042.16"
"5,328.00","5,343.99",427.63,"1,041.16"
"5,344.00","5,375.99",426.63,"1,040.16"
"5,376.00","5,423.99",425.63,"1,039.16"
"5,424.00","5,439.99",424.63,"1,038.16"
"5,440.00","5,471.99",423.63,"1,037.16"
"5,472.00","5,519.99",422.63,"1,036.16"
"5,520.00","5,535.99",421.63,"1,035.16"
"5,536.00","5,567.99",420.63,"1,034.16"
"5,568.00","5,615.99",419.63,"1,033.16"
"5,616.00","5,631.99",418.63,"1,032.16"
"5,632.00","5,663.99",417.63,"1,031.16"
"5,664.00","5,711.99",416.63,"1,030.16"
"5,712.00","5,727.99",415.63,"1,029.16"
"5,728.00","5,759.99",414.63,"1,028.16"
"5,760.00","5,807.99",413.63,"1,027.16"
"5,808.00","5,823.99",412.63,"1,026.16"
"5,824.00","5,855.99",411.63,"1,025.16"
"5,856.00","5,903.99",410.63,"1,024.16"
"5,904.00","5,919.99",409.63,1023.16
"5,920.00","5,951.99",408.63,1022.16
"5,952.00","5,999.99",407.63,1021.16
"6,000.00","6,015.99",406.63,1020.16
"6,016.00","6,047.99",405.63,1019.16
"6,048.00","6,095.99",404.63,1018.16
"6,096.00","6,111.99",403.63,1017.16
"6,112.00","6,143.99",402.63,1016.16
"6,144.00","6,191.99",401.63,1015.16
"6,192.00","6,207.99",400.63,1014.16
"6,208.00","6,239.99",399.63,1013.16
"6,240.00","6,287.99",398.63,1012.16
"6,288.00","6,303.99",397.63,1011.16
"6,304.00","6,335.99",396.63,1010.16
"6,336.00","6,383.99",395.63,1009.16
"6,384.00","6,399.99",394.63,1008.16
"6,400.00","6,431.99",393.63,1007.16
"6,432.00","6,479.99",392.63,1006.16
"6,480.00","6,495.99",391.63,1005.16
"6,496.00","6,527.99",390.63,1004.16
"6,528.00","6,575.99",389.63,1003.16
"6,576.00","6,591.99",388.63,1002.16
"6,592.00","6,623.99",387.63,1001.16
"6,624.00","6,671.99",386.63,1000.16
"6,672.00","6,687.99",385.63,999.16
"6,688.00","6,719.99",384.63,998.16
"6,720.00","6,767.99",383.63,997.16
"6,768.00","6,783.99",382.63,996.16
"6,784.00","6,815.99",381.63,995.16
"6,816.00","6,863.99",380.63,994.16
"6,864.00","6,879.99",379.63,993.16
"6,880.00","6,911.99",378.63,992.16
"6,912.00","6,959.99",377.63,991.16
"6,960.00","6,975.99",376.63,990.16
"6,976.00","7,007.99",375.63,989.16
"7,008.00","7,055.99",374.63,988.16
"7,056.00","7,071.99",373.63,987.16
"7,072.00","7,103.99",372.63,986.16
"7,104.00","7,151.99",371.63,985.16
"7,152.00","7,167.99",370.63,984.16
"7,168.00","7,199.99",369.63,983.16
"7,200.00","7,247.99",368.63,982.16
"7,248.00","7,263.99",367.63,981.16
"7,264.00","7,295.99",366.63,980.16
"7,296.00","7,343.99",365.63,979.16
"7,344.00","7,359.99",364.63,978.16
"7,360.00","7,391.99",363.63,977.16
"7,392.00","7,439.99",362.63,976.16
"7,440.00","7,455.99",361.63,975.16
"7,456.00","7,487.99",360.63,974.16
"7,488.00","7,535.99",359.63,973.16
"7,536.00","7,551.99",358.63,972.16
"7,552.00","7,583.99",357.63,971.16
"7,584.00","7,631.99",356.63,970.16
"7,632.00","7,647.99",355.63,969.16
"7,648.00","7,679.99",354.63,968.16
"7,680.00","7,727.99",353.63,967.16
"7,728.00","7,743.99",352.63,966.16
"7,744.00","7,775.99",351.63,965.16
"7,776.00","7,823.99",350.63,964.16
"7,824.00","7,839.99",349.63,963.16
"7,840.00","7,871.99",348.63,962.16
"7,872.00","7,919.99",347.63,961.16
"7,920.00","7,935.99",346.63,960.16
"7,936.00","7,967.99",346.41,959.94
"7,968.00","8,015.99",345.41,958.94
"8,016.00","8,063.99",344.41,957.94
"8,064.00","8,111.99",343.41,956.94
"8,112.00","8,159.99",342.41,955.94
"8,160.00","8,207.99",341.41,954.94
"8,208.00","8,255.99",340.41,953.94
"8,256.00","8,303.99",339.41,952.94
"8,304.00","8,351.99",338.41,951.94
"8,352.00","8,399.99",337.41,950.94
"8,400.00","8,447.99",336.41,949.94
"8,448.00","8,495.99",335.41,948.94
"8,496.00","8,543.99",334.41,947.94
"8,544.00","8,591.99",333.41,946.94
"8,592.00","8,639.99",332.41,945.94
"8,640.00","8,687.99",331.41,944.94
"8,688.00","8,735.99",330.41,943.94
"8,736.00","8,783.99",329.41,942.94
"8,784.00","8,831.99",328.41,941.94
"8,832.00","8,879.99",327.41,940.94
"8,880.00","8,927.99",326.41,939.94
"8,928.00","8,975.99",325.41,938.94
"8,976.00","9,023.99",324.41,937.94
"9,024.00","9,071.99",323.41,936.94
"9,072.00","9,119.99",322.41,935.94
"9,120.00","9,167.99",321.41,934.94
"9,168.00","9,215.99",320.41,933.94
"9,216.00","9,263.99",319.41,932.94
"9,264.00","9,311.99",318.41,931.94
"9,312.00","9,359.99",317.41,930.94
"9,360.00","9,407.99",316.41,929.94
"9,408.00","9,455.99",315.41,928.94
"9,456.00","9,503.99",314.41,927.94
"9,504.00","9,551.99",313.41,926.94
"9,552.00","9,599.99",312.41,925.94
"9,600.00","9,647.99",311.41,924.94
"9,648.00","9,695.99",310.41,923.94
"9,696.00","9,743.99",309.41,922.94
"9,744.00","9,791.99",308.41,921.94
"9,792.00","9,839.99",307.41,920.94
"9,840.00","9,887.99",306.41,919.94
"9,888.00","9,935.99",305.41,918.94
"9,936.00","9,983.99",304.41,917.94
"9,984.00","10,031.99",303.41,916.94
"10,032.00","10,079.99",302.41,915.94
"10,080.00","10,127.99",301.41,914.94
"10,128.00","10,175.99",300.41,913.94
"10,176.00","10,223.99",299.41,912.94
"10,224.00","10,271.99",298.41,911.94
"10,272.00","10,319.99",297.41,910.94
"10,320.00","10,367.99",296.41,909.94
"10,368.00","10,415.99",295.41,908.94
"10,416.00","10,463.99",294.41,907.94
"10,464.00","10,511.99",293.41,906.94
"10,512.00","10,559.99",292.41,905.94
"10,560.00","10,607.99",291.41,904.94
"10,608.00","10,655.99",290.41,903.94
"10,656.00","10,703.99",289.41,902.94
"10,704.00","10,751.99",288.41,901.94
"10,752.00","10,799.99",287.41,900.94
"10,800.00","10,847.99",286.41,899.94
"10,848.00","10,895.99",285.41,898.94
"10,896.00","10,943.99",284.41,897.94
"10,944.00","10,991.99",283.41,896.94
"10,992.00","11,039.99",282.41,895.94
"11,040.00","11,087.99",281.41,894.94
"11,088.00","11,135.99",280.41,893.94
"11,136.00","11,183.99",279.41,892.94
"11,184.00","11,231.99",278.41,891.94
"11,232.00","11,279.99",277.41,890.94
"11,280.00","11,327.99",276.41,889.94
"11,328.00","11,375.99",275.41,888.94
"11,376.00","11,423.99",274.41,887.94
"11,424.00","11,471.99",273.41,886.94
"11,472.00","11,519.99",272.41,885.94
"11,520.00","11,567.99",271.41,884.94
"11,568.00","11,615.99",270.41,883.94
"11,616.00","11,663.99",269.41,882.94
"11,664.00","11,711.99",268.41,881.94
"11,712.00","11,759.99",267.41,880.94
"11,760.00","11,807.99",266.41,879.94
"11,808.00","11,855.99",265.41,878.94
"11,856.00","11,903.99",264.41,877.94
"11,904.00","11,951.99",263.41,876.94
"11,952.00","11,999.99",262.41,875.94
"12,000.00","12,047.99",261.41,874.94
"12,048.00","12,095.99",260.41,873.94
"12,096.00","12,143.99",259.41,872.94
"12,144.00","12,191.99",258.41,871.94
"12,192.00","12,239.99",257.41,870.94
"12,240.00","12,287.99",256.41,869.94
"12,288.00","12,335.99",255.41,868.94
"12,336.00","12,383.99",254.41,867.94
"12,384.00","12,431.99",253.41,866.94
"12,432.00","12,479.99",252.41,865.94
"12,480.00","12,527.99",251.41,864.94
"12,528.00","12,575.99",250.41,863.94
"12,576.00","12,623.99",249.41,862.94
"12,624.00","12,671.99",248.41,861.94
"12,672.00","12,719.99",247.41,860.94
"12,720.00","12,767.99",246.41,859.94
"12,768.00","12,815.99",245.41,858.94
"12,816.00","12,863.99",244.41,857.94
"12,864.00","12,911.99",243.41,856.94
"12,912.00","12,959.99",242.41,855.94
"12,960.00","13,007.99",241.41,854.94
"13,008.00","13,055.99",240.41,853.94
"13,056.00","13,103.99",239.41,852.94
"13,104.00","13,151.99",238.41,851.94
"13,152.00","13,199.99",237.41,850.94
"13,200.00","13,247.99",236.41,849.94
"13,248.00","13,295.99",235.41,848.94
"13,296.00","13,343.99",234.41,847.94
"13,344.00","13,391.99",233.41,846.94
"13,392.00","13,439.99",232.41,845.94
"13,440.00","13,487.99",231.41,844.94
"13,488.00","13,535.99",230.41,843.94
"13,536.00","13,583.99",229.41,842.94
"13,584.00","13,631.99",228.41,841.94
"13,632.00","13,679.99",227.41,840.94
"13,680.00","13,727.99",226.41,839.94
"13,728.00","13,775.99",225.41,838.94
"13,776.00","13,823.99",224.41,837.94
"13,824.00","13,871.99",223.41,836.94
"13,872.00","13,919.99",222.41,835.94
"13,920.00","13,967.99",221.41,834.94
"13,968.00","14,015.99",220.41,833.94
"14,016.00","14,063.99",219.41,832.94
"14,064.00","14,111.99",218.41,831.94
"14,112.00","14,159.99",217.41,830.94
"14,160.00","14,207.99",216.41,829.94
"14,208.00","14,255.99",215.41,828.94
"14,256.00","14,303.99",214.41,827.94
"14,304.00","14,351.99",213.41,826.94
"14,352.00","14,399.99",212.41,825.94
"14,400.00","14,447.99",211.41,824.94
"14,448.00","14,495.99",210.41,823.94
"14,496.00","14,543.99",209.41,822.94
"14,544.00","14,591.99",208.41,821.94
"14,592.00","14,639.99",207.41,820.94
"14,640.00","14,687.99",206.41,819.94
"14,688.00","14,735.99",205.41,818.94
"14,736.00","14,783.99",204.41,817.94
"14,784.00","14,831.99",203.41,816.94
"14,832.00","14,879.99",202.41,815.94
"14,880.00","14,927.99",201.41,814.94
"14,928.00","14,975.99",200.41,813.94
"14,976.00","15,023.99",199.41,812.94
"15,024.00","15,071.99",198.41,811.94
"15,072.00","15,119.99",197.41,810.94
"15,120.00","15,167.99",196.41,809.94
"15,168.00","15,215.99",195.41,808.94
"15,216.00","15,263.99",194.41,807.94
"15,264.00","15,311.99",193.41,806.94
"15,312.00","15,359.99",192.41,805.94
"15,360.00","15,407.99",191.41,804.94
"15,408.00","15,455.99",190.41,803.94
"15,456.00","15,503.99",189.41,802.94
"15,504.00","15,551.99",188.41,801.94
"15,552.00","15,599.99",187.41,800.94
"15,600.00","15,647.99",186.41,799.94
"15,648.00","15,695.99",185.41,798.94
"15,696.00","15,743.99",184.41,797.94
"15,744.00","15,791.99",183.41,796.94
"15,792.00","15,839.99",182.41,795.94
"15,840.00","15,887.99",181.41,794.94
"15,888.00","15,935.99",180.41,793.94
"15,936.00","15,983.99",179.41,792.94
"15,984.00","16,031.99",178.41,791.94
"16,032.00","16,079.99",177.41,790.94
"16,080.00","16,127.99",176.41,789.94
"16,128.00","16,175.99",175.41,788.94
"16,176.00","16,223.99",174.41,787.94
"16,224.00","16,271.99",173.41,786.94
"16,272.00","16,319.99",172.41,785.94
"16,320.00","16,367.99",171.41,784.94
"16,368.00","16,415.99",170.41,783.94
"16,416.00","16,463.99",169.41,782.94
"16,464.00","16,511.99",168.41,781.94
"16,512.00","16,559.99",167.41,780.94
"16,560.00","16,607.99",166.41,779.94
"16,608.00","16,655.99",165.41,778.94
"16,656.00","16,703.99",164.41,777.94
"16,704.00","16,751.99",163.41,776.94
"16,752.00","16,799.99",162.41,775.94
"16,800.00","16,847.99",161.41,774.94
"16,848.00","16,895.99",160.41,773.94
"16,896.00","16,943.99",159.41,772.94
"16,944.00","16,991.99",158.41,771.94
"16,992.00","17,039.99",157.41,770.94
"17,040.00","17,087.99",156.41,769.94
"17,088.00","17,135.99",155.41,768.94
"17,136.00","17,183.99",154.41,767.94
"17,184.00","17,231.99",153.41,766.94
"17,232.00","17,279.99",152.41,765.94
"17,280.00","17,327.99",151.41,764.94
"17,328.00","17,375.99",150.41,763.94
"17,376.00","17,423.99",149.41,762.94
"17,424.00","17,471.99",148.41,761.94
"17,472.00","17,519.99",147.41,760.94
"17,520.00","17,567.99",146.41,759.94
"17,568.00","17,615.99",145.41,758.94
"17,616.00","17,663.99",144.41,757.94
"17,664.00","17,711.99",143.41,756.94
"17,712.00","17,759.99",142.41,755.94
"17,760.00","17,807.99",141.41,754.94
"17,808.00","17,855.99",140.41,753.94
"17,856.00","17,903.99",139.41,752.94
"17,904.00","17,951.99",138.41,751.94
"17,952.00","17,999.99",137.41,750.94
"18,000.00","18,047.99",136.41,749.94
"18,048.00","18,095.99",135.41,748.94
"18,096.00","18,143.99",134.41,747.94
"18,144.00","18,191.99",133.41,746.94
"18,192.00","18,239.99",132.41,745.94
"18,240.00","18,287.99",131.41,744.94
"18,288.00","18,335.99",130.41,743.94
"18,336.00","18,383.99",129.41,742.94
"18,384.00","18,431.99",128.41,741.94
"18,432.00","18,479.99",127.41,740.94
"18,480.00","18,527.99",126.41,739.94
"18,528.00","18,575.99",125.41,738.94
"18,576.00","18,623.99",124.41,737.94
"18,624.00","18,671.99",123.41,736.94
"18,672.00","18,719.99",122.41,735.94
"18,720.00","18,767.99",121.41,734.94
"18,768.00","18,815.99",120.41,733.94
"18,816.00","18,863.99",119.41,732.94
"18,864.00","18,911.99",118.41,731.94
"18,912.00","18,959.99",117.41,730.94
"18,960.00","19,007.99",116.41,729.94
"19,008.00","19,055.99",115.41,728.94
"19,056.00","19,103.99",114.41,727.94
"19,104.00","19,151.99",113.41,726.94
"19,152.00","19,199.99",112.41,725.94
"19,200.00","19,247.99",111.41,724.94
"19,248.00","19,295.99",110.41,723.94
"19,296.00","19,343.99",109.41,722.94
"19,344.00","19,391.99",108.41,721.94
"19,392.00","19,439.99",107.41,720.94
"19,440.00","19,487.99",106.41,719.94
"19,488.00","19,535.99",105.41,718.94
"19,536.00","19,583.99",104.41,717.94
"19,584.00","19,631.99",103.41,716.94
"19,632.00","19,679.99",102.41,715.94
"19,680.00","19,727.99",101.41,714.94
"19,728.00","19,775.99",100.41,713.94
"19,776.00","19,823.99",99.41,712.94
"19,824.00","19,871.99",98.41,711.94
"19,872.00","19,919.99",97.41,710.94
"19,920.00","19,967.99",96.41,709.94
"19,968.00","20,015.99",95.41,708.94
"20,016.00","20,063.99",94.41,707.94
"20,064.00","20,111.99",93.41,706.94
"20,112.00","20,159.99",92.41,705.94
"20,160.00","20,207.99",91.41,704.94
"20,208.00","20,255.99",90.41,703.94
"20,256.00","20,303.99",89.41,702.94
"20,304.00","20,351.99",88.41,701.94
"20,352.00","20,399.99",87.41,700.94
"20,400.00","20,447.99",86.41,699.94
"20,448.00","20,495.99",85.41,698.94
"20,496.00","20,543.99",84.41,697.94
"20,544.00","20,591.99",83.41,696.94
"20,592.00","20,639.99",82.41,695.94
"20,640.00","20,687.99",81.41,694.94
"20,688.00","20,735.99",80.41,693.94
"20,736.00","20,783.99",79.41,692.94
"20,784.00","20,831.99",78.41,691.94
"20,832.00","20,879.99",77.41,690.94
"20,880.00","20,927.99",76.41,689.94
"20,928.00","20,975.99",75.41,688.94
"20,976.00","21,023.99",74.41,687.94
"21,024.00","21,071.99",73.41,686.94
"21,072.00","21,119.99",72.41,685.94
"21,120.00","21,167.99",71.41,684.94
"21,168.00","21,215.99",70.41,683.94
"21,216.00","21,263.99",69.41,682.94
"21,264.00","21,311.99",68.41,681.94
"21,312.00","21,359.99",67.41,680.94
"21,360.00","21,407.99",66.41,679.94
"21,408.00","21,455.99",65.41,678.94
"21,456.00","21,503.99",64.41,677.94
"21,504.00","21,551.99",63.41,676.94
"21,552.00","21,599.99",62.41,675.94
"21,600.00","21,647.99",61.41,674.94
"21,648.00","21,695.99",60.41,673.94
"21,696.00","21,743.99",59.41,672.94
"21,744.00","21,791.99",58.41,671.94
"21,792.00","21,839.99",57.41,670.94
"21,840.00","21,887.99",56.41,669.94
"21,888.00","21,935.99",55.41,668.94
"21,936.00","21,983.99",54.41,667.94
"21,984.00","22,031.99",53.41,666.94
"22,032.00","22,079.99",52.41,665.94
"22,080.00","22,127.99",51.41,664.94
"22,128.00","22,175.99",50.41,663.94
"22,176.00","22,223.99",49.41,662.94
"22,224.00","22,271.99",48.41,661.94
"22,272.00","22,319.99",47.41,660.94
"22,320.00","22,367.99",46.41,659.94
"22,368.00","22,415.99",45.41,658.94
"22,416.00","22,463.99",44.41,657.94
"22,464.00","22,511.99",43.41,656.94
"22,512.00","22,559.99",42.41,655.94
"22,560.00","22,607.99",41.41,654.94
"22,608.00","22,655.99",40.41,653.94
"22,656.00","22,703.99",39.41,652.94
"22,704.00","22,751.99",38.41,651.94
"22,752.00","22,799.99",37.41,650.94
"22,800.00","22,847.99",36.41,649.94
"22,848.00","22,895.99",35.41,648.94
"22,896.00","22,943.99",34.41,647.94
"22,944.00","22,991.99",33.41,646.94
"22,992.00","23,039.99",32.41,645.94
"23,040.00","23,087.99",31.41,644.94
"23,088.00","23,135.99",30.41,643.94
"23,136.00","23,183.99",29.41,642.94
"23,184.00","23,231.99",28.41,641.94
"23,232.00","23,279.99",27.41,640.94
"23,280.00","23,327.99",26.41,639.94
"23,328.00","23,375.99",25.41,638.94
"23,376.00","23,423.99",24.41,637.94
"23,424.00","23,471.99",23.41,636.94
"23,472.00","23,519.99",22.41,635.94
"23,520.00","23,567.99",21.41,634.94
"23,568.00","23,615.99",20.41,633.94
"23,616.00","23,663.99",19.41,632.94
"23,664.00","23,711.99",18.41,631.94
"23,712.00","23,759.99",17.41,630.94
"23,760.00","23,807.99",16.41,629.94
"23,808.00","23,855.99",15.41,628.94
"23,856.00","23,903.99",14.41,627.94
"23,904.00","23,951.99",13.41,626.94
"23,952.00","23,999.99",12.41,625.94
"24,000.00","24,047.99",11.41,624.94
"24,048.00","24,095.99",10.41,623.94
"24,096.00","24,143.99",9.41,622.94
"24,144.00","24,191.99",8.41,621.94
"24,192.00","24,239.99",7.41,620.94
"24,240.00","24,287.99",6.41,619.94
"24,288.00","24,335.99",5.41,618.94
"24,336.00","24,383.99",4.41,617.94
"24,384.00","24,431.99",3.41,616.94
"24,432.00","24,479.99",2.41,615.94
"24,480.00","24,527.99",1.41,614.94
"24,528.00","24,575.99",0.41,613.94
